t,T
3.55,2262.89
3.56,2260.80
3.57,2258.71
3.58,2256.63
3.59,2254.56
3.60,2252.50
3.61,2250.44
3.62,2248.39
3.63,2246.35
3.64,2244.32
3.65,2242.29
3.66,2240.28
3.67,2238.26
3.68,2236.26
3.69,2234.26
3.70,2232.27
3.71,2230.29
3.72,2228.31
3.73,2226.34
3.74,2224.38
3.75,2222.43
3.76,2220.48
3.77,2218.54
3.78,2216.60
3.79,2214.68
3.80,2212.75
3.81,2210.84
3.82,2208.93
3.83,2207.03
3.84,2205.14
3.85,2203.25
3.86,2201.36
3.87,2199.49
3.88,2197.62
3.89,2195.76
3.90,2193.90
3.91,2192.05
3.92,2190.21
3.93,2188.37
3.94,2186.54
3.95,2184.71
3.96,2182.89
3.97,2181.08
3.98,2179.27
3.99,2177.47
4.00,2175.67
4.01,2173.89
4.02,2172.10
4.03,2170.32
4.04,2168.55
4.05,2166.79
4.06,2165.02
4.07,2163.27
4.08,2161.52
4.09,2159.78
4.10,2158.04
4.11,2156.31
4.12,2154.58
4.13,2152.86
4.14,2151.14
4.15,2149.43
4.16,2147.73
4.17,2146.03
4.18,2144.33
4.19,2142.65
4.20,2140.96
4.21,2139.28
4.22,2137.61
4.23,2135.94
4.24,2134.28
4.25,2132.62
4.26,2130.97
4.27,2129.32
4.28,2127.68
4.29,2126.04
4.30,2124.41
4.31,2122.79
4.32,2121.16
4.33,2119.55
4.34,2117.93
4.35,2116.33
4.36,2114.72
4.37,2113.13
4.38,2111.53
4.39,2109.95
4.40,2108.36
4.41,2106.79
4.42,2105.21
4.43,2103.64
4.44,2102.08
4.45,2100.52
4.46,2098.96
4.47,2097.41
4.48,2095.87
4.49,2094.33
4.50,2092.79
4.51,2091.26
4.52,2089.73
4.53,2088.21
4.54,2086.69
4.55,2085.17
4.56,2083.66
4.57,2082.16
4.58,2080.65
4.59,2079.16
4.60,2077.66
4.61,2076.18
4.62,2074.69
4.63,2073.21
4.64,2071.74
4.65,2070.26
4.66,2068.80
4.67,2067.33
4.68,2065.87
4.69,2064.42
4.70,2062.97
4.71,2061.52
4.72,2060.08
4.73,2058.64
4.74,2057.20
4.75,2055.77
4.76,2054.35
4.77,2052.92
4.78,2051.50
4.79,2050.09
4.80,2048.68
4.81,2047.27
4.82,2045.87
4.83,2044.47
4.84,2043.07
4.85,2041.68
4.86,2040.29
4.87,2038.91
4.88,2037.53
4.89,2036.15
4.90,2034.78
4.91,2033.41
4.92,2032.04
4.93,2030.68
4.94,2029.32
4.95,2027.97
4.96,2026.61
4.97,2025.27
4.98,2023.92
4.99,2022.58
5.00,2021.24
5.01,2019.91
5.02,2018.58
5.03,2017.25
5.04,2015.93
5.05,2014.61
5.06,2013.30
5.07,2011.98
5.08,2010.67
5.09,2009.37
5.10,2008.07
5.11,2006.77
5.12,2005.47
5.13,2004.18
5.14,2002.89
5.15,2001.60
5.16,2000.32
5.17,1999.04
5.18,1997.77
5.19,1996.49
5.20,1995.22
5.21,1993.96
5.22,1992.69
5.23,1991.44
5.24,1990.18
5.25,1988.93
5.26,1987.67
5.27,1986.43
5.28,1985.18
5.29,1983.94
5.30,1982.70
5.31,1981.47
5.32,1980.24
5.33,1979.01
5.34,1977.78
5.35,1976.56
5.36,1975.34
5.37,1974.13
5.38,1972.91
5.39,1971.70
5.40,1970.49
5.41,1969.29
5.42,1968.09
5.43,1966.89
5.44,1965.69
5.45,1964.50
5.46,1963.31
5.47,1962.12
5.48,1960.94
5.49,1959.76
5.50,1958.58
5.51,1957.40
5.52,1956.23
5.53,1955.06
5.54,1953.89
5.55,1952.73
5.56,1951.57
5.57,1950.41
5.58,1949.25
5.59,1948.10
5.60,1946.95
5.61,1945.80
5.62,1944.65
5.63,1943.51
5.64,1942.37
5.65,1941.23
5.66,1940.10
5.67,1938.97
5.68,1937.84
5.69,1936.71
5.70,1935.58
5.71,1934.46
5.72,1933.34
5.73,1932.23
5.74,1931.11
5.75,1930.00
5.76,1928.89
5.77,1927.79
5.78,1926.68
5.79,1925.58
5.80,1924.48
5.81,1923.39
5.82,1922.29
5.83,1921.20
5.84,1920.11
5.85,1919.03
5.86,1917.94
5.87,1916.86
5.88,1915.78
5.89,1914.71
5.90,1913.63
5.91,1912.56
5.92,1911.49
5.93,1910.43
5.94,1909.36
5.95,1908.30
5.96,1907.24
5.97,1906.18
5.98,1905.13
5.99,1904.08
6.00,1903.02
6.01,1901.98
6.02,1900.93
6.03,1899.89
6.04,1898.85
6.05,1897.81
6.06,1896.77
6.07,1895.74
6.08,1894.70
6.09,1893.67
6.10,1892.65
6.11,1891.62
6.12,1890.60
6.13,1889.58
6.14,1888.56
6.15,1887.54
6.16,1886.53
6.17,1885.52
6.18,1884.51
6.19,1883.50
6.20,1882.49
6.21,1881.49
6.22,1880.49
6.23,1879.49
6.24,1878.49
6.25,1877.49
6.26,1876.50
6.27,1875.51
6.28,1874.52
6.29,1873.54
6.30,1872.55
6.31,1871.57
6.32,1870.59
6.33,1869.61
6.34,1868.63
6.35,1867.66
6.36,1866.69
6.37,1865.72
6.38,1864.75
6.39,1863.78
6.40,1862.82
6.41,1861.85
6.42,1860.89
6.43,1859.94
6.44,1858.98
6.45,1858.02
6.46,1857.07
6.47,1856.12
6.48,1855.17
6.49,1854.23
6.50,1853.28
6.51,1852.34
6.52,1851.40
6.53,1850.46
6.54,1849.52
6.55,1848.59
6.56,1847.65
6.57,1846.72
6.58,1845.79
6.59,1844.87
6.60,1843.94
6.61,1843.02
6.62,1842.09
6.63,1841.17
6.64,1840.25
6.65,1839.34
6.66,1838.42
6.67,1837.51
6.68,1836.60
6.69,1835.69
6.70,1834.78
6.71,1833.88
6.72,1832.97
6.73,1832.07
6.74,1831.17
6.75,1830.27
6.76,1829.37
6.77,1828.48
6.78,1827.59
6.79,1826.69
6.80,1825.80
6.81,1824.92
6.82,1824.03
6.83,1823.15
6.84,1822.26
6.85,1821.38
6.86,1820.50
6.87,1819.62
6.88,1818.75
6.89,1817.87
6.90,1817.00
6.91,1816.13
6.92,1815.26
6.93,1814.39
6.94,1813.53
6.95,1812.66
6.96,1811.80
6.97,1810.94
6.98,1810.08
6.99,1809.22
7.00,1808.36
7.01,1807.51
7.02,1806.66
7.03,1805.80
7.04,1804.95
7.05,1804.11
7.06,1803.26
7.07,1802.41
7.08,1801.57
7.09,1800.73
7.10,1799.89
7.11,1799.05
7.12,1798.21
7.13,1797.38
7.14,1796.54
7.15,1795.71
7.16,1794.88
7.17,1794.05
