t,T
0.00,9688.00
0.10,8532.87
0.20,7180.30
0.30,6060.18
0.40,5317.07
0.50,4818.12
0.60,4459.13
0.70,4185.37
0.80,3967.44
0.90,3788.30
1.00,3637.41
1.10,3507.84
1.20,3394.87
1.30,3295.10
1.40,3206.07
1.50,3125.92
1.60,3053.20
1.70,2986.79
1.80,2925.80
1.90,2869.49
2.00,2817.27
2.10,2768.65
2.20,2723.22
2.30,2680.63
2.40,2640.58
2.50,2602.82
2.60,2567.13
2.70,2533.31
2.80,2501.21
2.90,2470.68
3.00,2441.58
3.10,2413.81
3.20,2387.26
3.30,2361.83
3.40,2337.46
3.50,2314.06
3.60,2291.58
3.70,2269.94
3.80,2249.09
3.90,2228.99
4.00,2209.59
4.10,2190.85
4.20,2172.73
4.30,2155.19
4.40,2138.20
4.50,2121.74
4.60,2105.78
4.70,2090.28
4.80,2075.23
4.90,2060.60
5.00,2046.38
5.10,2032.54
5.20,2019.07
5.30,2005.95
5.40,1993.16
5.50,1980.70
5.60,1968.54
5.70,1956.67
5.80,1945.08
5.90,1933.77
6.00,1922.71
6.10,1911.90
6.20,1901.33
6.30,1890.99
6.40,1880.87
6.50,1870.96
6.60,1861.26
6.70,1851.76
6.80,1842.45
6.90,1833.32
7.00,1824.37
7.10,1815.60
7.20,1806.99
7.30,1798.54
7.40,1790.24
7.50,1782.10
7.60,1774.11
7.70,1766.25
7.80,1758.53
7.90,1750.95
8.00,1743.49
8.10,1736.16
8.20,1728.96
8.30,1721.87
8.40,1714.89
8.50,1708.03
8.60,1701.27
8.70,1694.63
8.80,1688.08
8.90,1681.63
9.00,1675.28
9.10,1669.03
9.20,1662.87
9.30,1656.80
9.40,1650.81
9.50,1644.91
9.60,1639.10
9.70,1633.36
9.80,1627.71
9.90,1622.13
10.00,1616.63
10.10,1611.20
10.20,1605.85
10.30,1600.56
10.40,1595.35
10.50,1590.20
10.60,1585.12
10.70,1580.10
10.80,1575.14
10.90,1570.25
11.00,1565.41
11.10,1560.64
11.20,1555.92
11.30,1551.26
11.40,1546.66
11.50,1542.11
11.60,1537.61
11.70,1533.16
11.80,1528.77
11.90,1524.42
12.00,1520.13
12.10,1515.88
12.20,1511.68
12.30,1507.52
12.40,1503.42
12.50,1499.35
12.60,1495.33
12.70,1491.35
12.80,1487.41
12.90,1483.52
13.00,1479.66
13.10,1475.85
13.20,1472.07
13.30,1468.34
13.40,1464.64
13.50,1460.97
13.60,1457.35
13.70,1453.76
13.80,1450.20
13.90,1446.68
14.00,1443.19
14.10,1439.74
14.20,1436.32
14.30,1432.93
14.40,1429.57
14.50,1426.25
14.60,1422.95
14.70,1419.69
14.80,1416.45
14.90,1413.25
15.00,1410.07
15.10,1406.92
15.20,1403.80
15.30,1400.71
15.40,1397.64
15.50,1394.60
15.60,1391.59
15.70,1388.60
15.80,1385.64
15.90,1382.70
16.00,1379.79
16.10,1376.90
16.20,1374.04
16.30,1371.20
16.40,1368.38
16.50,1365.59
16.60,1362.82
16.70,1360.07
16.80,1357.34
16.90,1354.64
17.00,1351.96
17.10,1349.30
17.20,1346.65
17.30,1344.03
17.40,1341.43
17.50,1338.85
17.60,1336.29
17.70,1333.75
17.80,1331.23
17.90,1328.73
18.00,1326.24
18.10,1323.78
18.20,1321.33
18.30,1318.90
18.40,1316.49
18.50,1314.09
18.60,1311.72
18.70,1309.36
18.80,1307.01
18.90,1304.69
19.00,1302.38
19.10,1300.08
19.20,1297.81
19.30,1295.54
19.40,1293.30
19.50,1291.07
19.60,1288.85
19.70,1286.65
19.80,1284.47
19.90,1282.30
20.00,1280.14
20.10,1278.00
20.20,1275.87
20.30,1273.76
20.40,1271.66
20.50,1269.58
20.60,1267.50
20.70,1265.45
20.80,1263.40
20.90,1261.37
21.00,1259.35
21.10,1257.35
21.20,1255.35
21.30,1253.37
21.40,1251.40
21.50,1249.45
21.60,1247.50
21.70,1245.57
21.80,1243.65
21.90,1241.75
22.00,1239.85
22.10,1237.96
22.20,1236.09
22.30,1234.23
22.40,1232.38
22.50,1230.54
22.60,1228.71
22.70,1226.89
22.80,1225.08
22.90,1223.29
23.00,1221.50
23.10,1219.73
23.20,1217.96
23.30,1216.21
23.40,1214.46
23.50,1212.72
23.60,1211.00
23.70,1209.28
23.80,1207.58
23.90,1205.88
24.00,1204.19
24.10,1202.52
24.20,1200.85
24.30,1199.19
24.40,1197.54
24.50,1195.90
24.60,1194.27
24.70,1192.64
24.80,1191.03
24.90,1189.42
25.00,1187.83
25.10,1186.24
25.20,1184.66
25.30,1183.09
25.40,1181.52
25.50,1179.97
25.60,1178.42
25.70,1176.88
25.80,1175.35
25.90,1173.83
26.00,1172.32
