t,T
3.55,2256.68
3.56,2254.60
3.57,2252.54
3.58,2250.48
3.59,2248.43
3.60,2246.38
3.61,2244.34
3.62,2242.31
3.63,2240.29
3.64,2238.28
3.65,2236.27
3.66,2234.27
3.67,2232.27
3.68,2230.29
3.69,2228.31
3.70,2226.34
3.71,2224.37
3.72,2222.41
3.73,2220.46
3.74,2218.52
3.75,2216.58
3.76,2214.65
3.77,2212.72
3.78,2210.81
3.79,2208.89
3.80,2206.99
3.81,2205.09
3.82,2203.20
3.83,2201.31
3.84,2199.44
3.85,2197.56
3.86,2195.70
3.87,2193.84
3.88,2191.99
3.89,2190.14
3.90,2188.30
3.91,2186.46
3.92,2184.64
3.93,2182.81
3.94,2181.00
3.95,2179.19
3.96,2177.38
3.97,2175.58
3.98,2173.79
3.99,2172.01
4.00,2170.23
4.01,2168.45
4.02,2166.68
4.03,2164.92
4.04,2163.16
4.05,2161.41
4.06,2159.66
4.07,2157.92
4.08,2156.19
4.09,2154.46
4.10,2152.74
4.11,2151.02
4.12,2149.31
4.13,2147.60
4.14,2145.90
4.15,2144.20
4.16,2142.51
4.17,2140.82
4.18,2139.14
4.19,2137.47
4.20,2135.80
4.21,2134.13
4.22,2132.47
4.23,2130.82
4.24,2129.17
4.25,2127.53
4.26,2125.89
4.27,2124.25
4.28,2122.62
4.29,2121.00
4.30,2119.38
4.31,2117.77
4.32,2116.16
4.33,2114.55
4.34,2112.95
4.35,2111.36
4.36,2109.77
4.37,2108.18
4.38,2106.60
4.39,2105.03
4.40,2103.46
4.41,2101.89
4.42,2100.33
4.43,2098.77
4.44,2097.22
4.45,2095.67
4.46,2094.13
4.47,2092.59
4.48,2091.06
4.49,2089.53
4.50,2088.00
4.51,2086.48
4.52,2084.97
4.53,2083.46
4.54,2081.95
4.55,2080.44
4.56,2078.95
4.57,2077.45
4.58,2075.96
4.59,2074.48
4.60,2072.99
4.61,2071.52
4.62,2070.04
4.63,2068.57
4.64,2067.11
4.65,2065.65
4.66,2064.19
4.67,2062.74
4.68,2061.29
4.69,2059.85
4.70,2058.41
4.71,2056.97
4.72,2055.54
4.73,2054.11
4.74,2052.69
4.75,2051.27
4.76,2049.85
4.77,2048.44
4.78,2047.03
4.79,2045.62
4.80,2044.22
4.81,2042.83
4.82,2041.43
4.83,2040.04
4.84,2038.66
4.85,2037.28
4.86,2035.90
4.87,2034.52
4.88,2033.15
4.89,2031.79
4.90,2030.42
4.91,2029.06
4.92,2027.71
4.93,2026.35
4.94,2025.01
4.95,2023.66
4.96,2022.32
4.97,2020.98
4.98,2019.65
4.99,2018.32
5.00,2016.99
5.01,2015.66
5.02,2014.34
5.03,2013.03
5.04,2011.71
5.05,2010.40
5.06,2009.10
5.07,2007.79
5.08,2006.49
5.09,2005.19
5.10,2003.90
5.11,2002.61
5.12,2001.32
5.13,2000.04
5.14,1998.76
5.15,1997.48
5.16,1996.21
5.17,1994.94
5.18,1993.67
5.19,1992.41
5.20,1991.15
5.21,1989.89
5.22,1988.64
5.23,1987.39
5.24,1986.14
5.25,1984.89
5.26,1983.65
5.27,1982.41
5.28,1981.18
5.29,1979.94
5.30,1978.72
5.31,1977.49
5.32,1976.27
5.33,1975.05
5.34,1973.83
5.35,1972.61
5.36,1971.40
5.37,1970.19
5.38,1968.99
5.39,1967.79
5.40,1966.59
5.41,1965.39
5.42,1964.20
5.43,1963.01
5.44,1961.82
5.45,1960.63
5.46,1959.45
