t,T
0.00,9688.00
0.05,7561.26
0.10,6577.78
0.15,5964.09
0.20,5529.83
0.25,5199.56
0.30,4936.29
0.35,4719.35
0.40,4536.13
0.45,4378.41
0.50,4240.57
0.55,4118.59
0.60,4009.54
0.65,3911.19
0.70,3821.83
0.75,3740.11
0.80,3664.96
0.85,3595.52
0.90,3531.05
0.95,3470.97
1.00,3414.78
1.05,3362.06
1.10,3312.45
1.15,3265.65
1.20,3221.39
1.25,3179.43
1.30,3139.57
1.35,3101.65
1.40,3065.49
1.45,3030.96
1.50,2997.93
1.55,2966.30
1.60,2935.96
1.65,2906.83
1.70,2878.82
1.75,2851.86
1.80,2825.88
1.85,2800.82
1.90,2776.63
1.95,2753.26
2.00,2730.65
2.05,2708.76
2.10,2687.56
2.15,2667.01
2.20,2647.08
2.25,2627.73
2.30,2608.93
2.35,2590.65
2.40,2572.88
2.45,2555.59
2.50,2538.75
2.55,2522.35
2.60,2506.36
2.65,2490.77
2.70,2475.57
2.75,2460.72
2.80,2446.23
2.85,2432.07
2.90,2418.24
2.95,2404.71
3.00,2391.48
3.05,2378.54
3.10,2365.87
3.15,2353.47
3.20,2341.33
3.25,2329.43
3.30,2317.77
3.35,2306.34
3.40,2295.13
3.45,2284.14
3.50,2273.35
3.55,2262.77
3.60,2252.38
3.65,2242.18
3.70,2232.16
3.75,2222.31
3.80,2212.64
3.85,2203.14
3.90,2193.79
3.95,2184.61
4.00,2175.57
4.05,2166.68
4.10,2157.94
4.15,2149.33
4.20,2140.86
4.25,2132.53
4.30,2124.32
4.35,2116.23
4.40,2108.27
4.45,2100.43
4.50,2092.70
4.55,2085.08
4.60,2077.58
4.65,2070.18
4.70,2062.88
4.75,2055.69
4.80,2048.60
4.85,2041.60
4.90,2034.70
4.95,2027.89
5.00,2021.17
5.05,2014.54
5.10,2007.99
5.15,2001.53
5.20,1995.15
5.25,1988.85
5.30,1982.63
5.35,1976.49
5.40,1970.42
5.45,1964.43
5.50,1958.51
5.55,1952.66
5.60,1946.88
5.65,1941.17
5.70,1935.52
5.75,1929.94
5.80,1924.42
5.85,1918.97
5.90,1913.57
5.95,1908.24
6.00,1902.96
6.05,1897.75
6.10,1892.59
6.15,1887.48
6.20,1882.43
6.25,1877.44
6.30,1872.49
6.35,1867.60
6.40,1862.76
6.45,1857.97
6.50,1853.23
6.55,1848.53
6.60,1843.89
6.65,1839.28
6.70,1834.73
6.75,1830.22
6.80,1825.75
6.85,1821.33
6.90,1816.95
6.95,1812.61
7.00,1808.31
7.05,1804.06
7.10,1799.84
7.15,1795.66
7.20,1791.52
7.25,1787.42
7.30,1783.36
7.35,1779.33
7.40,1775.34
7.45,1771.38
7.50,1767.46
7.55,1763.57
7.60,1759.72
7.65,1755.90
7.70,1752.12
7.75,1748.36
7.80,1744.64
7.85,1740.95
7.90,1737.29
7.95,1733.66
8.00,1730.06
8.05,1726.50
8.10,1722.96
8.15,1719.45
8.20,1715.96
8.25,1712.51
8.30,1709.08
8.35,1705.68
