t,T
35.50,1054.16
35.60,1053.17
35.70,1052.19
35.80,1051.21
35.90,1050.23
36.00,1049.26
36.10,1048.29
36.20,1047.33
36.30,1046.37
36.40,1045.41
36.50,1044.46
36.60,1043.51
36.70,1042.56
36.80,1041.62
36.90,1040.68
37.00,1039.74
37.10,1038.81
37.20,1037.88
37.30,1036.95
37.40,1036.03
37.50,1035.11
37.60,1034.19
37.70,1033.28
37.80,1032.37
37.90,1031.46
38.00,1030.56
38.10,1029.65
38.20,1028.76
38.30,1027.86
38.40,1026.97
38.50,1026.08
38.60,1025.20
38.70,1024.32
38.80,1023.44
38.90,1022.56
39.00,1021.69
39.10,1020.82
39.20,1019.95
39.30,1019.09
39.40,1018.22
39.50,1017.37
39.60,1016.51
39.70,1015.66
39.80,1014.81
39.90,1013.96
40.00,1013.12
40.10,1012.27
40.20,1011.44
40.30,1010.60
40.40,1009.77
40.50,1008.94
40.60,1008.11
40.70,1007.28
40.80,1006.46
40.90,1005.64
41.00,1004.83
41.10,1004.01
41.20,1003.20
41.30,1002.39
41.40,1001.58
41.50,1000.78
41.60,999.98
41.70,999.18
41.80,998.38
41.90,997.59
42.00,996.80
42.10,996.01
42.20,995.23
42.30,994.44
42.40,993.66
42.50,992.88
42.60,992.11
42.70,991.33
42.80,990.56
42.90,989.79
43.00,989.02
43.10,988.26
43.20,987.50
43.30,986.74
43.40,985.98
43.50,985.23
43.60,984.47
43.70,983.72
43.80,982.98
43.90,982.23
44.00,981.49
44.10,980.75
44.20,980.01
44.30,979.27
44.40,978.53
44.50,977.80
44.60,977.07
44.70,976.34
44.80,975.62
44.90,974.89
45.00,974.17
45.10,973.45
45.20,972.74
45.30,972.02
45.40,971.31
45.50,970.60
45.60,969.89
45.70,969.18
45.80,968.48
45.90,967.77
46.00,967.07
46.10,966.37
46.20,965.68
46.30,964.98
46.40,964.29
46.50,963.60
46.60,962.91
46.70,962.22
46.80,961.54
46.90,960.86
47.00,960.18
47.10,959.50
47.20,958.82
47.30,958.14
47.40,957.47
47.50,956.80
47.60,956.13
47.70,955.46
47.80,954.80
47.90,954.13
48.00,953.47
48.10,952.81
48.20,952.15
48.30,951.49
48.40,950.84
48.50,950.19
48.60,949.54
48.70,948.89
48.80,948.24
48.90,947.59
49.00,946.95
49.10,946.31
49.20,945.67
49.30,945.03
49.40,944.39
49.50,943.75
49.60,943.12
49.70,942.49
49.80,941.86
49.90,941.23
50.00,940.60
50.10,939.98
50.20,939.35
50.30,938.73
50.40,938.11
50.50,937.49
50.60,936.87
50.70,936.26
50.80,935.65
50.90,935.03
51.00,934.42
51.10,933.81
51.20,933.21
51.30,932.60
51.40,932.00
51.50,931.39
51.60,930.79
51.70,930.19
51.80,929.59
51.90,929.00
52.00,928.40
52.10,927.81
52.20,927.22
52.30,926.63
52.40,926.04
52.50,925.45
52.60,924.86
52.70,924.28
52.80,923.69
52.90,923.11
53.00,922.53
53.10,921.95
53.20,921.38
53.30,920.80
53.40,920.23
53.50,919.65
53.60,919.08
53.70,918.51
53.80,917.94
53.90,917.38
54.00,916.81
54.10,916.25
54.20,915.68
54.30,915.12
54.40,914.56
54.50,914.00
54.60,913.44
54.70,912.89
54.80,912.33
54.90,911.78
55.00,911.23
55.10,910.68
55.20,910.13
55.30,909.58
55.40,909.03
55.50,908.49
55.60,907.94
55.70,907.40
55.80,906.86
55.90,906.32
56.00,905.78
56.10,905.24
56.20,904.70
56.30,904.17
56.40,903.63
56.50,903.10
56.60,902.57
56.70,902.04
