t,T
17.75,1328.72
17.80,1327.48
17.85,1326.24
17.90,1325.00
17.95,1323.77
18.00,1322.54
18.05,1321.32
18.10,1320.11
18.15,1318.89
18.20,1317.69
18.25,1316.48
18.30,1315.28
18.35,1314.09
18.40,1312.90
18.45,1311.71
18.50,1310.53
18.55,1309.35
18.60,1308.18
18.65,1307.01
18.70,1305.84
18.75,1304.68
18.80,1303.52
18.85,1302.37
18.90,1301.22
18.95,1300.08
19.00,1298.94
19.05,1297.80
19.10,1296.67
19.15,1295.54
19.20,1294.41
19.25,1293.29
19.30,1292.18
19.35,1291.06
19.40,1289.95
19.45,1288.85
19.50,1287.75
19.55,1286.65
19.60,1285.55
19.65,1284.46
19.70,1283.38
19.75,1282.29
19.80,1281.21
19.85,1280.14
19.90,1279.06
19.95,1278.00
20.00,1276.93
20.05,1275.87
20.10,1274.81
20.15,1273.76
20.20,1272.70
20.25,1271.66
20.30,1270.61
20.35,1269.57
20.40,1268.53
20.45,1267.50
20.50,1266.47
20.55,1265.44
20.60,1264.42
20.65,1263.40
20.70,1262.38
20.75,1261.37
20.80,1260.35
20.85,1259.35
20.90,1258.34
20.95,1257.34
21.00,1256.34
21.05,1255.35
21.10,1254.36
21.15,1253.37
21.20,1252.38
21.25,1251.40
21.30,1250.42
21.35,1249.44
21.40,1248.47
21.45,1247.50
21.50,1246.53
21.55,1245.57
21.60,1244.61
21.65,1243.65
21.70,1242.69
21.75,1241.74
21.80,1240.79
21.85,1239.85
21.90,1238.90
21.95,1237.96
22.00,1237.02
22.05,1236.09
22.10,1235.15
22.15,1234.23
22.20,1233.30
22.25,1232.37
22.30,1231.45
22.35,1230.53
22.40,1229.62
22.45,1228.71
22.50,1227.80
22.55,1226.89
22.60,1225.98
22.65,1225.08
22.70,1224.18
22.75,1223.28
22.80,1222.39
22.85,1221.50
22.90,1220.61
22.95,1219.72
23.00,1218.84
23.05,1217.96
23.10,1217.08
23.15,1216.20
23.20,1215.33
23.25,1214.46
23.30,1213.59
23.35,1212.72
23.40,1211.86
23.45,1210.99
23.50,1210.14
23.55,1209.28
23.60,1208.43
23.65,1207.57
23.70,1206.72
23.75,1205.88
23.80,1205.03
23.85,1204.19
23.90,1203.35
23.95,1202.51
24.00,1201.68
24.05,1200.84
24.10,1200.01
24.15,1199.19
24.20,1198.36
24.25,1197.54
24.30,1196.71
24.35,1195.89
24.40,1195.08
24.45,1194.26
24.50,1193.45
24.55,1192.64
24.60,1191.83
24.65,1191.03
24.70,1190.22
24.75,1189.42
24.80,1188.62
24.85,1187.82
24.90,1187.03
24.95,1186.24
25.00,1185.44
25.05,1184.66
25.10,1183.87
25.15,1183.08
25.20,1182.30
25.25,1181.52
25.30,1180.74
25.35,1179.97
25.40,1179.19
25.45,1178.42
25.50,1177.65
25.55,1176.88
25.60,1176.11
25.65,1175.35
25.70,1174.59
25.75,1173.83
25.80,1173.07
25.85,1172.31
25.90,1171.56
25.95,1170.80
26.00,1170.05
26.05,1169.31
26.10,1168.56
26.15,1167.81
26.20,1167.07
26.25,1166.33
26.30,1165.59
26.35,1164.85
26.40,1164.12
26.45,1163.38
26.50,1162.65
26.55,1161.92
26.60,1161.19
26.65,1160.47
26.70,1159.74
26.75,1159.02
26.80,1158.30
26.85,1157.58
26.90,1156.86
26.95,1156.15
27.00,1155.43
27.05,1154.72
27.10,1154.01
27.15,1153.30
27.20,1152.60
27.25,1151.89
27.30,1151.19
27.35,1150.49
27.40,1149.79
27.45,1149.09
27.50,1148.39
27.55,1147.70
27.60,1147.00
27.65,1146.31
27.70,1145.62
27.75,1144.93
27.80,1144.25
27.85,1143.56
27.90,1142.88
27.95,1142.20
28.00,1141.52
28.05,1140.84
28.10,1140.16
28.15,1139.49
28.20,1138.81
28.25,1138.14
28.30,1137.47
28.35,1136.80
28.40,1136.13
28.45,1135.47
28.50,1134.81
28.55,1134.14
28.60,1133.48
28.65,1132.82
28.70,1132.16
28.75,1131.51
28.80,1130.85
28.85,1130.20
28.90,1129.55
28.95,1128.90
29.00,1128.25
29.05,1127.60
29.10,1126.95
29.15,1126.31
29.20,1125.67
29.25,1125.03
29.30,1124.39
29.35,1123.75
29.40,1123.11
29.45,1122.47
29.50,1121.84
29.55,1121.21
29.60,1120.58
29.65,1119.95
29.70,1119.32
29.75,1118.69
29.80,1118.06
29.85,1117.44
29.90,1116.82
29.95,1116.20
30.00,1115.58
30.05,1114.96
30.10,1114.34
30.15,1113.72
30.20,1113.11
30.25,1112.49
30.30,1111.88
30.35,1111.27
