iteracja,a,b,c,f(c)
28,-2.16667,-2.16667,-2.16667,-2.20489e-15
29,-2.16667,-2.16667,-2.16667,-2.20489e-15
30,-2.16667,-2.16667,-2.16667,-2.20489e-15
31,-2.16667,-2.16667,-2.16667,-2.20489e-15
32,-2.16667,-2.16667,-2.16667,-2.20489e-15
33,-2.16667,-2.16667,-2.16667,-2.20489e-15
34,-2.16667,-2.16667,-2.16667,-2.20489e-15
35,-2.16667,-2.16667,-2.16667,-2.20489e-15
36,-2.16667,-2.16667,-2.16667,-2.20489e-15
37,-2.16667,-2.16667,-2.16667,-2.20489e-15
38,-2.16667,-2.16667,-2.16667,-2.20489e-15
39,-2.16667,-2.16667,-2.16667,-2.20489e-15
40,-2.16667,-2.16667,-2.16667,-2.20489e-15
41,-2.16667,-2.16667,-2.16667,-2.20489e-15
42,-2.16667,-2.16667,-2.16667,-2.20489e-15
43,-2.16667,-2.16667,-2.16667,-2.20489e-15
44,-2.16667,-2.16667,-2.16667,-2.20489e-15
45,-2.16667,-2.16667,-2.16667,-2.20489e-15
46,-2.16667,-2.16667,-2.16667,-2.20489e-15
47,-2.16667,-2.16667,-2.16667,-2.20489e-15
48,-2.16667,-2.16667,-2.16667,-2.20489e-15
49,-2.16667,-2.16667,-2.16667,-2.20489e-15
50,-2.16667,-2.16667,-2.16667,-2.20489e-15
51,-2.16667,-2.16667,-2.16667,-2.20489e-15
52,-2.16667,-2.16667,-2.16667,-2.20489e-15
53,-2.16667,-2.16667,-2.16667,-2.20489e-15
54,-2.16667,-2.16667,-2.16667,-2.20489e-15
55,-2.16667,-2.16667,-2.16667,-2.20489e-15
56,-2.16667,-2.16667,-2.16667,-2.20489e-15
57,-2.16667,-2.16667,-2.16667,-2.20489e-15
58,-2.16667,-2.16667,-2.16667,-2.20489e-15
59,-2.16667,-2.16667,-2.16667,-2.20489e-15
60,-2.16667,-2.16667,-2.16667,-2.20489e-15
61,-2.16667,-2.16667,-2.16667,-2.20489e-15
62,-2.16667,-2.16667,-2.16667,-2.20489e-15
63,-2.16667,-2.16667,-2.16667,-2.20489e-15
64,-2.16667,-2.16667,-2.16667,-2.20489e-15
65,-2.16667,-2.16667,-2.16667,-2.20489e-15
66,-2.16667,-2.16667,-2.16667,-2.20489e-15
67,-2.16667,-2.16667,-2.16667,-2.20489e-15
68,-2.16667,-2.16667,-2.16667,-2.20489e-15
69,-2.16667,-2.16667,-2.16667,-2.20489e-15
70,-2.16667,-2.16667,-2.16667,-2.20489e-15
71,-2.16667,-2.16667,-2.16667,-2.20489e-15
72,-2.16667,-2.16667,-2.16667,-2.20489e-15
73,-2.16667,-2.16667,-2.16667,-2.20489e-15
74,-2.16667,-2.16667,-2.16667,-2.20489e-15
75,-2.16667,-2.16667,-2.16667,-2.20489e-15
76,-2.16667,-2.16667,-2.16667,-2.20489e-15
77,-2.16667,-2.16667,-2.16667,-2.20489e-15
78,-2.16667,-2.16667,-2.16667,-2.20489e-15
79,-2.16667,-2.16667,-2.16667,-2.20489e-15
80,-2.16667,-2.16667,-2.16667,-2.20489e-15
81,-2.16667,-2.16667,-2.16667,-2.20489e-15
82,-2.16667,-2.16667,-2.16667,-2.20489e-15
83,-2.16667,-2.16667,-2.16667,-2.20489e-15
84,-2.16667,-2.16667,-2.16667,-2.20489e-15
85,-2.16667,-2.16667,-2.16667,-2.20489e-15
86,-2.16667,-2.16667,-2.16667,-2.20489e-15
87,-2.16667,-2.16667,-2.16667,-2.20489e-15
88,-2.16667,-2.16667,-2.16667,-2.20489e-15
89,-2.16667,-2.16667,-2.16667,-2.20489e-15
90,-2.16667,-2.16667,-2.16667,-2.20489e-15
91,-2.16667,-2.16667,-2.16667,-2.20489e-15
92,-2.16667,-2.16667,-2.16667,-2.20489e-15
93,-2.16667,-2.16667,-2.16667,-2.20489e-15
94,-2.16667,-2.16667,-2.16667,-2.20489e-15
95,-2.16667,-2.16667,-2.16667,-2.20489e-15
96,-2.16667,-2.16667,-2.16667,-2.20489e-15
97,-2.16667,-2.16667,-2.16667,-2.20489e-15
98,-2.16667,-2.16667,-2.16667,-2.20489e-15
99,-2.16667,-2.16667,-2.16667,-2.20489e-15
100,-2.16667,-2.16667,-2.16667,-2.20489e-15

iteracja,a,b,c,f(c)
1,-1.9,-1.8,-1.83716,-0.0431176
2,-1.83716,-1.8,-1.83343,-0.00111851
3,-1.83343,-1.8,-1.83334,-2.69271e-05
4,-1.83334,-1.8,-1.83333,-6.46951e-07
5,-1.83333,-1.8,-1.83333,-1.5543e-08
6,-1.83333,-1.8,-1.83333,-3.73416e-10
7,-1.83333,-1.8,-1.83333,-8.97121e-12
8,-1.83333,-1.8,-1.83333,-2.14486e-13
9,-1.83333,-1.8,-1.83333,-1.32336e-15
10,-1.83333,-1.8,-1.83333,-1.32336e-15
11,-1.83333,-1.8,-1.83333,2.9399e-15
12,-1.83333,-1.83333,-1.83333,-1.32336e-15
13,-1.83333,-1.83333,-1.83333,-1.32336e-15
14,-1.83333,-1.83333,-1.83333,-1.32336e-15
15,-1.83333,-1.83333,-1.83333,-1.32336e-15
16,-1.83333,-1.83333,-1.83333,-1.32336e-15
17,-1.83333,-1.83333,-1.83333,-1.32336e-15
18,-1.83333,-1.83333,-1.83333,-1.32336e-15
19,-1.83333,-1.83333,-1.83333,-1.32336e-15
20,-1.83333,-1.83333,-1.83333,-1.32336e-15
21,-1.83333,-1.83333,-1.83333,-1.32336e-15
22,-1.83333,-1.83333,-1.83333,-1.32336e-15
23,-1.83333,-1.83333,-1.83333,-1.32336e-15
24,-1.83333,-1.83333,-1.83333,-1.32336e-15
25,-1.83333,-1.83333,-1.83333,-1.32336e-15
26,-1.83333,-1.83333,-1.83333,-1.32336e-15
27,-1.83333,-1.83333,-1.83333,-1.32336e-15
28,-1.83333,-1.83333,-1.83333,-1.32336e-15
29,-1.83333,-1.83333,-1.83333,-1.32336e-15
30,-1.83333,-1.83333,-1.83333,-1.32336e-15
31,-1.83333,-1.83333,-1.83333,-1.32336e-15
32,-1.83333,-1.83333,-1.83333,-1.32336e-15
33,-1.83333,-1.83333,-1.83333,-1.32336e-15
34,-1.83333,-1.83333,-1.83333,-1.32336e-15
35,-1.83333,-1.83333,-1.83333,-1.32336e-15
36,-1.83333,-1.83333,-1.83333,-1.32336e-15
37,-1.83333,-1.83333,-1.83333,-1.32336e-15
38,-1.83333,-1.83333,-1.83333,-1.32336e-15
39,-1.83333,-1.83333,-1.83333,-1.32336e-15
40,-1.83333,-1.83333,-1.83333,-1.32336e-15
41,-1.83333,-1.83333,-1.83333,-1.32336e-15
42,-1.83333,-1.83333,-1.83333,-1.32336e-15
43,-1.83333,-1.83333,-1.83333,-1.32336e-15
44,-1.83333,-1.83333,-1.83333,-1.32336e-15
45,-1.83333,-1.83333,-1.83333,-1.32336e-15
46,-1.83333,-1.83333,-1.83333,-1.32336e-15
47,-1.83333,-1.83333,-1.83333,-1.32336e-15
48,-1.83333,-1.83333,-1.83333,-1.32336e-15
49,-1.83333,-1.83333,-1.83333,-1.32336e-15
50,-1.83333,-1.83333,-1.83333,-1.32336e-15
51,-1.83333,-1.83333,-1.83333,-1.32336e-15
52,-1.83333,-1.83333,-1.83333,-1.32336e-15
53,-1.83333,-1.83333,-1.83333,-1.32336e-15
54,-1.83333,-1.83333,-1.83333,-1.32336e-15
55,-1.83333,-1.83333,-1.83333,-1.32336e-15
56,-1.83333,-1.83333,-1.83333,-1.32336e-15
57,-1.83333,-1.83333,-1.83333,-1.32336e-15
58,-1.83333,-1.83333,-1.83333,-1.32336e-15
59,-1.83333,-1.83333,-1.83333,-1.32336e-15
60,-1.83333,-1.83333,-1.83333,-1.32336e-15
61,-1.83333,-1.83333,-1.83333,-1.32336e-15
62,-1.83333,-1.83333,-1.83333,-1.32336e-15
63,-1.83333,-1.83333,-1.83333,-1.32336e-15
64,-1.83333,-1.83333,-1.83333,-1.32336e-15
65,-1.83333,-1.83333,-1.83333,-1.32336e-15
66,-1.83333,-1.83333,-1.83333,-1.32336e-15
67,-1.83333,-1.83333,-1.83333,-1.32336e-15
68,-1.83333,-1.83333,-1.83333,-1.32336e-15
69,-1.83333,-1.83333,-1.83333,-1.32336e-15
70,-1.83333,-1.83333,-1.83333,-1.32336e-15
71,-1.83333,-1.83333,-1.83333,-1.32336e-15
72,-1.83333,-1.83333,-1.83333,-1.32336e-15
73,-1.83333,-1.83333,-1.83333,-1.32336e-15
74,-1.83333,-1.83333,-1.83333,-1.32336e-15
75,-1.83333,-1.83333,-1.83333,-1.32336e-15
76,-1.83333,-1.83333,-1.83333,-1.32336e-15
77,-1.83333,-1.83333,-1.83333,-1.32336e-15
78,-1.83333,-1.83333,-1.83333,-1.32336e-15
79,-1.83333,-1.83333,-1.83333,-1.32336e-15
80,-1.83333,-1.83333,-1.83333,-1.32336e-15
81,-1.83333,-1.83333,-1.83333,-1.32336e-15
82,-1.83333,-1.83333,-1.83333,-1.32336e-15
83,-1.83333,-1.83333,-1.83333,-1.32336e-15
84,-1.83333,-1.83333,-1.83333,-1.32336e-15
85,-1.83333,-1.83333,-1.83333,-1.32336e-15
86,-1.83333,-1.83333,-1.83333,-1.32336e-15
87,-1.83333,-1.83333,-1.83333,-1.32336e-15
88,-1.83333,-1.83333,-1.83333,-1.32336e-15
89,-1.83333,-1.83333,-1.83333,-1.32336e-15
90,-1.83333,-1.83333,-1.83333,-1.32336e-15
91,-1.83333,-1.83333,-1.83333,-1.32336e-15
92,-1.83333,-1.83333,-1.83333,-1.32336e-15
93,-1.83333,-1.83333,-1.83333,-1.32336e-15
94,-1.83333,-1.83333,-1.83333,-1.32336e-15
95,-1.83333,-1.83333,-1.83333,-1.32336e-15
96,-1.83333,-1.83333,-1.83333,-1.32336e-15
97,-1.83333,-1.83333,-1.83333,-1.32336e-15
98,-1.83333,-1.83333,-1.83333,-1.32336e-15
99,-1.83333,-1.83333,-1.83333,-1.32336e-15
100,-1.83333,-1.83333,-1.83333,-1.32336e-15

iteracja,a,b,c,f(c)
1,-1.6,-1.5,-1.5,1.31087e-14
2,-1.5,-1.5,-1.5,-1.10218e-15
3,-1.5,-1.5,-1.5,-1.10218e-15
4,-1.5,-1.5,-1.5,-1.10218e-15
5,-1.5,-1.5,-1.5,-1.10218e-15
6,-1.5,-1.5,-1.5,-1.10218e-15
7,-1.5,-1.5,-1.5,-1.10218e-15
8,-1.5,-1.5,-1.5,-1.10218e-15
9,-1.5,-1.5,-1.5,-1.10218e-15
10,-1.5,-1.5,-1.5,-1.10218e-15
11,-1.5,-1.5,-1.5,-1.10218e-15
12,-1.5,-1.5,-1.5,-1.10218e-15
13,-1.5,-1.5,-1.5,-1.10218e-15
14,-1.5,-1.5,-1.5,-1.10218e-15
15,-1.5,-1.5,-1.5,-1.10218e-15
16,-1.5,-1.5,-1.5,-1.10218e-15
17,-1.5,-1.5,-1.5,-1.10218e-15
18,-1.5,-1.5,-1.5,-1.10218e-15
19,-1.5,-1.5,-1.5,-1.10218e-15
20,-1.5,-1.5,-1.5,-1.10218e-15
21,-1.5,-1.5,-1.5,-1.10218e-15
22,-1.5,-1.5,-1.5,-1.10218e-15
23,-1.5,-1.5,-1.5,-1.10218e-15
24,-1.5,-1.5,-1.5,-1.10218e-15
25,-1.5,-1.5,-1.5,-1.10218e-15
26,-1.5,-1.5,-1.5,-1.10218e-15
27,-1.5,-1.5,-1.5,-1.10218e-15
28,-1.5,-1.5,-1.5,-1.10218e-15
29,-1.5,-1.5,-1.5,-1.10218e-15
30,-1.5,-1.5,-1.5,-1.10218e-15
31,-1.5,-1.5,-1.5,-1.10218e-15
32,-1.5,-1.5,-1.5,-1.10218e-15
33,-1.5,-1.5,-1.5,-1.10218e-15
34,-1.5,-1.5,-1.5,-1.10218e-15
35,-1.5,-1.5,-1.5,-1.10218e-15
36,-1.5,-1.5,-1.5,-1.10218e-15
37,-1.5,-1.5,-1.5,-1.10218e-15
38,-1.5,-1.5,-1.5,-1.10218e-15
39,-1.5,-1.5,-1.5,-1.10218e-15
40,-1.5,-1.5,-1.5,-1.10218e-15
41,-1.5,-1.5,-1.5,-1.10218e-15
42,-1.5,-1.5,-1.5,-1.10218e-15
43,-1.5,-1.5,-1.5,-1.10218e-15
44,-1.5,-1.5,-1.5,-1.10218e-15
45,-1.5,-1.5,-1.5,-1.10218e-15
46,-1.5,-1.5,-1.5,-1.10218e-15
47,-1.5,-1.5,-1.5,-1.10218e-15
48,-1.5,-1.5,-1.5,-1.10218e-15
49,-1.5,-1.5,-1.5,-1.10218e-15
50,-1.5,-1.5,-1.5,-1.10218e-15
51,-1.5,-1.5,-1.5,-1.10218e-15
52,-1.5,-1.5,-1.5,-1.10218e-15
53,-1.5,-1.5,-1.5,-1.10218e-15
54,-1.5,-1.5,-1.5,-1.10218e-15
55,-1.5,-1.5,-1.5,-1.10218e-15
56,-1.5,-1.5,-1.5,-1.10218e-15
57,-1.5,-1.5,-1.5,-1.10218e-15
58,-1.5,-1.5,-1.5,-1.10218e-15
59,-1.5,-1.5,-1.5,-1.10218e-15
60,-1.5,-1.5,-1.5,-1.10218e-15
61,-1.5,-1.5,-1.5,-1.10218e-15
62,-1.5,-1.5,-1.5,-1.10218e-15
63,-1.5,-1.5,-1.5,-1.10218e-15
64,-1.5,-1.5,-1.5,-1.10218e-15
65,-1.5,-1.5,-1.5,-1.10218e-15
66,-1.5,-1.5,-1.5,-1.10218e-15
67,-1.5,-1.5,-1.5,-1.10218e-15
68,-1.5,-1.5,-1.5,-1.10218e-15
69,-1.5,-1.5,-1.5,-1.10218e-15
70,-1.5,-1.5,-1.5,-1.10218e-15
71,-1.5,-1.5,-1.5,-1.10218e-15
72,-1.5,-1.5,-1.5,-1.10218e-15
73,-1.5,-1.5,-1.5,-1.10218e-15
74,-1.5,-1.5,-1.5,-1.10218e-15
75,-1.5,-1.5,-1.5,-1.10218e-15
76,-1.5,-1.5,-1.5,-1.10218e-15
77,-1.5,-1.5,-1.5,-1.10218e-15
78,-1.5,-1.5,-1.5,-1.10218e-15
79,-1.5,-1.5,-1.5,-1.10218e-15
80,-1.5,-1.5,-1.5,-1.10218e-15
81,-1.5,-1.5,-1.5,-1.10218e-15
82,-1.5,-1.5,-1.5,-1.10218e-15
83,-1.5,-1.5,-1.5,-1.10218e-15
84,-1.5,-1.5,-1.5,-1.10218e-15
85,-1.5,-1.5,-1.5,-1.10218e-15
86,-1.5,-1.5,-1.5,-1.10218e-15
87,-1.5,-1.5,-1.5,-1.10218e-15
88,-1.5,-1.5,-1.5,-1.10218e-15
89,-1.5,-1.5,-1.5,-1.10218e-15
90,-1.5,-1.5,-1.5,-1.10218e-15
91,-1.5,-1.5,-1.5,-1.10218e-15
92,-1.5,-1.5,-1.5,-1.10218e-15
93,-1.5,-1.5,-1.5,-1.10218e-15
94,-1.5,-1.5,-1.5,-1.10218e-15
95,-1.5,-1.5,-1.5,-1.10218e-15
96,-1.5,-1.5,-1.5,-1.10218e-15
97,-1.5,-1.5,-1.5,-1.10218e-15
98,-1.5,-1.5,-1.5,-1.10218e-15
99,-1.5,-1.5,-1.5,-1.10218e-15
100,-1.5,-1.5,-1.5,-1.10218e-15

iteracja,a,b,c,f(c)
1,-1.2,-1.1,-1.17918,-0.656913
2,-1.17918,-1.1,-1.17122,-0.25082
3,-1.17122,-1.1,-1.16831,-0.0920131
4,-1.16831,-1.1,-1.16726,-0.0332684
5,-1.16726,-1.1,-1.16688,-0.0119659
6,-1.16688,-1.1,-1.16674,-0.00429576
7,-1.16674,-1.1,-1.16669,-0.00154114
8,-1.16669,-1.1,-1.16668,-0.000552767
9,-1.16668,-1.1,-1.16667,-0.000198245
10,-1.16667,-1.1,-1.16667,-7.10968e-05
11,-1.16667,-1.1,-1.16667,-2.54972e-05
12,-1.16667,-1.1,-1.16667,-9.14395e-06
13,-1.16667,-1.1,-1.16667,-3.27924e-06
14,-1.16667,-1.1,-1.16667,-1.17602e-06
15,-1.16667,-1.1,-1.16667,-4.21749e-07
16,-1.16667,-1.1,-1.16667,-1.51249e-07
17,-1.16667,-1.1,-1.16667,-5.42417e-08
18,-1.16667,-1.1,-1.16667,-1.94524e-08
19,-1.16667,-1.1,-1.16667,-6.97611e-09
20,-1.16667,-1.1,-1.16667,-2.5018e-09
21,-1.16667,-1.1,-1.16667,-8.972e-10
22,-1.16667,-1.1,-1.16667,-3.21756e-10
23,-1.16667,-1.1,-1.16667,-1.15393e-10
24,-1.16667,-1.1,-1.16667,-4.1383e-11
25,-1.16667,-1.1,-1.16667,-1.48442e-11
26,-1.16667,-1.1,-1.16667,-5.3265e-12
27,-1.16667,-1.1,-1.16667,-1.90524e-12
28,-1.16667,-1.1,-1.16667,-6.79549e-13
29,-1.16667,-1.1,-1.16667,-2.42565e-13
30,-1.16667,-1.1,-1.16667,-9.33515e-14
31,-1.16667,-1.1,-1.16667,-2.94027e-14
32,-1.16667,-1.1,-1.16667,-1.87445e-14
33,-1.16667,-1.1,-1.16667,2.57176e-15
34,-1.16667,-1.16667,-1.16667,2.57176e-15
35,-1.16667,-1.16667,-1.16667,2.57176e-15
36,-1.16667,-1.16667,-1.16667,2.57176e-15
37,-1.16667,-1.16667,-1.16667,2.57176e-15
38,-1.16667,-1.16667,-1.16667,2.57176e-15
39,-1.16667,-1.16667,-1.16667,2.57176e-15
40,-1.16667,-1.16667,-1.16667,2.57176e-15
41,-1.16667,-1.16667,-1.16667,2.57176e-15
42,-1.16667,-1.16667,-1.16667,2.57176e-15
43,-1.16667,-1.16667,-1.16667,2.57176e-15
44,-1.16667,-1.16667,-1.16667,2.57176e-15
45,-1.16667,-1.16667,-1.16667,2.57176e-15
46,-1.16667,-1.16667,-1.16667,2.57176e-15
47,-1.16667,-1.16667,-1.16667,2.57176e-15
48,-1.16667,-1.16667,-1.16667,2.57176e-15
49,-1.16667,-1.16667,-1.16667,2.57176e-15
50,-1.16667,-1.16667,-1.16667,2.57176e-15
51,-1.16667,-1.16667,-1.16667,2.57176e-15
52,-1.16667,-1.16667,-1.16667,2.57176e-15
53,-1.16667,-1.16667,-1.16667,2.57176e-15
54,-1.16667,-1.16667,-1.16667,2.57176e-15
55,-1.16667,-1.16667,-1.16667,2.57176e-15
56,-1.16667,-1.16667,-1.16667,2.57176e-15
57,-1.16667,-1.16667,-1.16667,2.57176e-15
58,-1.16667,-1.16667,-1.16667,2.57176e-15
59,-1.16667,-1.16667,-1.16667,2.57176e-15
60,-1.16667,-1.16667,-1.16667,2.57176e-15
61,-1.16667,-1.16667,-1.16667,2.57176e-15
62,-1.16667,-1.16667,-1.16667,2.57176e-15
63,-1.16667,-1.16667,-1.16667,2.57176e-15
64,-1.16667,-1.16667,-1.16667,2.57176e-15
65,-1.16667,-1.16667,-1.16667,2.57176e-15
66,-1.16667,-1.16667,-1.16667,2.57176e-15
67,-1.16667,-1.16667,-1.16667,2.57176e-15
68,-1.16667,-1.16667,-1.16667,2.57176e-15
69,-1.16667,-1.16667,-1.16667,2.57176e-15
70,-1.16667,-1.16667,-1.16667,2.57176e-15
71,-1.16667,-1.16667,-1.16667,2.57176e-15
72,-1.16667,-1.16667,-1.16667,2.57176e-15
73,-1.16667,-1.16667,-1.16667,2.57176e-15
74,-1.16667,-1.16667,-1.16667,2.57176e-15
75,-1.16667,-1.16667,-1.16667,2.57176e-15
76,-1.16667,-1.16667,-1.16667,2.57176e-15
77,-1.16667,-1.16667,-1.16667,2.57176e-15
78,-1.16667,-1.16667,-1.16667,2.57176e-15
79,-1.16667,-1.16667,-1.16667,2.57176e-15
80,-1.16667,-1.16667,-1.16667,2.57176e-15
81,-1.16667,-1.16667,-1.16667,2.57176e-15
82,-1.16667,-1.16667,-1.16667,2.57176e-15
83,-1.16667,-1.16667,-1.16667,2.57176e-15
84,-1.16667,-1.16667,-1.16667,2.57176e-15
85,-1.16667,-1.16667,-1.16667,2.57176e-15
86,-1.16667,-1.16667,-1.16667,2.57176e-15
87,-1.16667,-1.16667,-1.16667,2.57176e-15
88,-1.16667,-1.16667,-1.16667,2.57176e-15
89,-1.16667,-1.16667,-1.16667,2.57176e-15
90,-1.16667,-1.16667,-1.16667,2.57176e-15
91,-1.16667,-1.16667,-1.16667,2.57176e-15
92,-1.16667,-1.16667,-1.16667,2.57176e-15
93,-1.16667,-1.16667,-1.16667,2.57176e-15
94,-1.16667,-1.16667,-1.16667,2.57176e-15
95,-1.16667,-1.16667,-1.16667,2.57176e-15
96,-1.16667,-1.16667,-1.16667,2.57176e-15
97,-1.16667,-1.16667,-1.16667,2.57176e-15
98,-1.16667,-1.16667,-1.16667,2.57176e-15
99,-1.16667,-1.16667,-1.16667,2.57176e-15
