iteracja,a,b,c,f(c)
1,-2.9,-2.8,-2.83569,0.0120923
2,-2.83569,-2.8,-2.83334,3.62694e-05
3,-2.83334,-2.8,-2.83333,6.69932e-08
4,-2.83333,-2.8,-2.83333,1.23511e-10
5,-2.83333,-2.8,-2.83333,2.29067e-13
6,-2.83333,-2.8,-2.83333,4.01131e-16

iteracja,a,b,c,f(c)
1,-2.6,-2.5,-2.5,-2.94039e-15
2,-2.5,-2.5,-2.5,1.79656e-15
3,-2.5,-2.5,-2.5,-2.94039e-15
4,-2.5,-2.5,-2.5,-2.94039e-15
5,-2.5,-2.5,-2.5,-2.94039e-15
6,-2.5,-2.5,-2.5,-2.94039e-15
7,-2.5,-2.5,-2.5,-2.94039e-15
8,-2.5,-2.5,-2.5,-2.94039e-15
9,-2.5,-2.5,-2.5,-2.94039e-15
10,-2.5,-2.5,-2.5,-2.94039e-15
11,-2.5,-2.5,-2.5,-2.94039e-15
12,-2.5,-2.5,-2.5,-2.94039e-15
13,-2.5,-2.5,-2.5,-2.94039e-15
14,-2.5,-2.5,-2.5,-2.94039e-15
15,-2.5,-2.5,-2.5,-2.94039e-15
16,-2.5,-2.5,-2.5,-2.94039e-15
17,-2.5,-2.5,-2.5,-2.94039e-15
18,-2.5,-2.5,-2.5,-2.94039e-15
19,-2.5,-2.5,-2.5,-2.94039e-15
20,-2.5,-2.5,-2.5,-2.94039e-15
21,-2.5,-2.5,-2.5,-2.94039e-15
22,-2.5,-2.5,-2.5,-2.94039e-15
23,-2.5,-2.5,-2.5,-2.94039e-15
24,-2.5,-2.5,-2.5,-2.94039e-15
25,-2.5,-2.5,-2.5,-2.94039e-15
26,-2.5,-2.5,-2.5,-2.94039e-15
27,-2.5,-2.5,-2.5,-2.94039e-15
28,-2.5,-2.5,-2.5,-2.94039e-15
29,-2.5,-2.5,-2.5,-2.94039e-15
30,-2.5,-2.5,-2.5,-2.94039e-15
31,-2.5,-2.5,-2.5,-2.94039e-15
32,-2.5,-2.5,-2.5,-2.94039e-15
33,-2.5,-2.5,-2.5,-2.94039e-15
34,-2.5,-2.5,-2.5,-2.94039e-15
35,-2.5,-2.5,-2.5,-2.94039e-15
36,-2.5,-2.5,-2.5,-2.94039e-15
37,-2.5,-2.5,-2.5,-2.94039e-15
38,-2.5,-2.5,-2.5,-2.94039e-15
39,-2.5,-2.5,-2.5,-2.94039e-15
40,-2.5,-2.5,-2.5,-2.94039e-15
41,-2.5,-2.5,-2.5,-2.94039e-15
42,-2.5,-2.5,-2.5,-2.94039e-15
43,-2.5,-2.5,-2.5,-2.94039e-15
44,-2.5,-2.5,-2.5,-2.94039e-15
45,-2.5,-2.5,-2.5,-2.94039e-15
46,-2.5,-2.5,-2.5,-2.94039e-15
47,-2.5,-2.5,-2.5,-2.94039e-15
48,-2.5,-2.5,-2.5,-2.94039e-15
49,-2.5,-2.5,-2.5,-2.94039e-15
50,-2.5,-2.5,-2.5,-2.94039e-15
51,-2.5,-2.5,-2.5,-2.94039e-15
52,-2.5,-2.5,-2.5,-2.94039e-15
53,-2.5,-2.5,-2.5,-2.94039e-15
54,-2.5,-2.5,-2.5,-2.94039e-15
55,-2.5,-2.5,-2.5,-2.94039e-15
56,-2.5,-2.5,-2.5,-2.94039e-15
57,-2.5,-2.5,-2.5,-2.94039e-15
58,-2.5,-2.5,-2.5,-2.94039e-15
59,-2.5,-2.5,-2.5,-2.94039e-15
60,-2.5,-2.5,-2.5,-2.94039e-15
61,-2.5,-2.5,-2.5,-2.94039e-15
62,-2.5,-2.5,-2.5,-2.94039e-15
63,-2.5,-2.5,-2.5,-2.94039e-15
64,-2.5,-2.5,-2.5,-2.94039e-15
65,-2.5,-2.5,-2.5,-2.94039e-15
66,-2.5,-2.5,-2.5,-2.94039e-15
67,-2.5,-2.5,-2.5,-2.94039e-15
68,-2.5,-2.5,-2.5,-2.94039e-15
69,-2.5,-2.5,-2.5,-2.94039e-15
70,-2.5,-2.5,-2.5,-2.94039e-15
71,-2.5,-2.5,-2.5,-2.94039e-15
72,-2.5,-2.5,-2.5,-2.94039e-15
73,-2.5,-2.5,-2.5,-2.94039e-15
74,-2.5,-2.5,-2.5,-2.94039e-15
75,-2.5,-2.5,-2.5,-2.94039e-15
76,-2.5,-2.5,-2.5,-2.94039e-15
77,-2.5,-2.5,-2.5,-2.94039e-15
78,-2.5,-2.5,-2.5,-2.94039e-15
79,-2.5,-2.5,-2.5,-2.94039e-15
80,-2.5,-2.5,-2.5,-2.94039e-15
81,-2.5,-2.5,-2.5,-2.94039e-15
82,-2.5,-2.5,-2.5,-2.94039e-15
83,-2.5,-2.5,-2.5,-2.94039e-15
84,-2.5,-2.5,-2.5,-2.94039e-15
85,-2.5,-2.5,-2.5,-2.94039e-15
86,-2.5,-2.5,-2.5,-2.94039e-15
87,-2.5,-2.5,-2.5,-2.94039e-15
88,-2.5,-2.5,-2.5,-2.94039e-15
89,-2.5,-2.5,-2.5,-2.94039e-15
90,-2.5,-2.5,-2.5,-2.94039e-15
91,-2.5,-2.5,-2.5,-2.94039e-15
92,-2.5,-2.5,-2.5,-2.94039e-15
93,-2.5,-2.5,-2.5,-2.94039e-15
94,-2.5,-2.5,-2.5,-2.94039e-15
95,-2.5,-2.5,-2.5,-2.94039e-15
96,-2.5,-2.5,-2.5,-2.94039e-15
97,-2.5,-2.5,-2.5,-2.94039e-15
98,-2.5,-2.5,-2.5,-2.94039e-15
99,-2.5,-2.5,-2.5,-2.94039e-15
100,-2.5,-2.5,-2.5,-2.94039e-15

iteracja,a,b,c,f(c)
1,-2.2,-2.1,-2.16748,0.00656592
2,-2.16748,-2.1,-2.16666,-4.64998e-05
3,-2.16748,-2.16666,-2.16667,3.287e-08
4,-2.16667,-2.16666,-2.16667,1.62235e-13
5,-2.16667,-2.16666,-2.16667,-2.20489e-15
6,-2.16667,-2.16667,-2.16667,-2.20489e-15
7,-2.16667,-2.16667,-2.16667,-2.20489e-15
8,-2.16667,-2.16667,-2.16667,-2.20489e-15
9,-2.16667,-2.16667,-2.16667,-2.20489e-15
10,-2.16667,-2.16667,-2.16667,-2.20489e-15
11,-2.16667,-2.16667,-2.16667,-2.20489e-15
12,-2.16667,-2.16667,-2.16667,-2.20489e-15
13,-2.16667,-2.16667,-2.16667,-2.20489e-15
14,-2.16667,-2.16667,-2.16667,-2.20489e-15
15,-2.16667,-2.16667,-2.16667,-2.20489e-15
16,-2.16667,-2.16667,-2.16667,-2.20489e-15
17,-2.16667,-2.16667,-2.16667,-2.20489e-15
18,-2.16667,-2.16667,-2.16667,-2.20489e-15
19,-2.16667,-2.16667,-2.16667,-2.20489e-15
20,-2.16667,-2.16667,-2.16667,-2.20489e-15
21,-2.16667,-2.16667,-2.16667,-2.20489e-15
22,-2.16667,-2.16667,-2.16667,-2.20489e-15
23,-2.16667,-2.16667,-2.16667,-2.20489e-15
24,-2.16667,-2.16667,-2.16667,-2.20489e-15
25,-2.16667,-2.16667,-2.16667,-2.20489e-15
26,-2.16667,-2.16667,-2.16667,-2.20489e-15
27,-2.16667,-2.16667,-2.16667,-2.20489e-15
