t,T
0.00,9688.00
0.05,7637.38
0.10,6646.54
0.15,6019.43
0.20,5574.60
0.25,5236.54
0.30,4967.45
0.35,4746.08
0.40,4559.40
0.45,4398.92
0.50,4258.84
0.55,4135.01
0.60,4024.41
0.65,3924.75
0.70,3834.26
0.75,3751.58
0.80,3675.58
0.85,3605.39
0.90,3540.27
0.95,3479.60
1.00,3422.89
1.05,3369.71
1.10,3319.67
1.15,3272.49
1.20,3227.87
1.25,3185.59
1.30,3145.45
1.35,3107.25
1.40,3070.84
1.45,3036.08
1.50,3002.84
1.55,2971.01
1.60,2940.49
1.65,2911.18
1.70,2883.01
1.75,2855.90
1.80,2829.78
1.85,2804.59
1.90,2780.27
1.95,2756.78
2.00,2734.06
2.05,2712.07
2.10,2690.77
2.15,2670.12
2.20,2650.10
2.25,2630.66
2.30,2611.78
2.35,2593.43
2.40,2575.58
2.45,2558.22
2.50,2541.31
2.55,2524.85
2.60,2508.80
2.65,2493.15
2.70,2477.89
2.75,2462.99
2.80,2448.44
2.85,2434.23
2.90,2420.35
2.95,2406.78
3.00,2393.50
3.05,2380.52
3.10,2367.81
3.15,2355.37
3.20,2343.19
3.25,2331.25
3.30,2319.56
3.35,2308.09
3.40,2296.85
3.45,2285.83
3.50,2275.01
3.55,2264.39
3.60,2253.97
3.65,2243.74
3.70,2233.70
3.75,2223.83
3.80,2214.13
3.85,2204.60
3.90,2195.23
3.95,2186.02
4.00,2176.96
4.05,2168.05
4.10,2159.29
4.15,2150.66
4.20,2142.17
4.25,2133.81
4.30,2125.58
4.35,2117.48
4.40,2109.50
4.45,2101.64
4.50,2093.89
4.55,2086.26
4.60,2078.74
4.65,2071.32
4.70,2064.01
4.75,2056.80
4.80,2049.69
4.85,2042.68
4.90,2035.76
4.95,2028.94
5.00,2022.21
5.05,2015.56
5.10,2009.00
5.15,2002.53
5.20,1996.14
5.25,1989.83
5.30,1983.60
5.35,1977.44
5.40,1971.36
5.45,1965.36
5.50,1959.43
5.55,1953.57
5.60,1947.77
5.65,1942.05
5.70,1936.39
5.75,1930.80
5.80,1925.28
5.85,1919.81
5.90,1914.41
5.95,1909.07
6.00,1903.78
6.05,1898.56
6.10,1893.39
6.15,1888.28
6.20,1883.22
6.25,1878.21
6.30,1873.26
6.35,1868.36
6.40,1863.51
6.45,1858.71
6.50,1853.96
6.55,1849.26
6.60,1844.61
6.65,1840.00
6.70,1835.44
6.75,1830.92
6.80,1826.45
6.85,1822.02
6.90,1817.63
6.95,1813.29
7.00,1808.98
7.05,1804.72
7.10,1800.50
7.15,1796.31
7.20,1792.17
7.25,1788.06
7.30,1783.99
7.35,1779.95
7.40,1775.96
7.45,1772.00
7.50,1768.07
7.55,1764.18
7.60,1760.32
7.65,1756.50
7.70,1752.71
7.75,1748.95
7.80,1745.22
7.85,1741.53
7.90,1737.86
7.95,1734.23
8.00,1730.62
8.05,1727.05
8.10,1723.51
8.15,1719.99
8.20,1716.51
8.25,1713.05
8.30,1709.62
8.35,1706.21
8.40,1702.84
8.45,1699.49
8.50,1696.16
8.55,1692.87
8.60,1689.59
8.65,1686.35
8.70,1683.12
8.75,1679.93
8.80,1676.75
8.85,1673.60
8.90,1670.48
8.95,1667.37
9.00,1664.29
9.05,1661.23
9.10,1658.20
9.15,1655.19
9.20,1652.19
9.25,1649.22
