iteracja,a,b,c,f(c)
1,-1.1,-1,-1.0272,-0.00157888
2,-1.1,-1.0272,-1.03292,-0.000308497
3,-1.1,-1.03292,-1.03402,-5.84211e-05
4,-1.1,-1.03402,-1.03423,-1.09976e-05
5,-1.1,-1.03423,-1.03427,-2.06796e-06
6,-1.1,-1.03427,-1.03427,-3.88769e-07
7,-1.1,-1.03427,-1.03427,-7.30843e-08
8,-1.1,-1.03427,-1.03427,-1.3739e-08
9,-1.1,-1.03427,-1.03427,-2.58275e-09
10,-1.1,-1.03427,-1.03427,-4.85525e-10
11,-1.1,-1.03427,-1.03427,-9.12725e-11
12,-1.1,-1.03427,-1.03427,-1.71581e-11
13,-1.1,-1.03427,-1.03427,-3.22542e-12
14,-1.1,-1.03427,-1.03427,-6.06404e-13
15,-1.1,-1.03427,-1.03427,-1.14131e-13
16,-1.1,-1.03427,-1.03427,-2.13163e-14
17,-1.1,-1.03427,-1.03427,-3.9968e-15
18,-1.1,-1.03427,-1.03427,-8.88178e-16

iteracja,a,b,c,f(c)
1,-0.8,-0.7,-0.729147,-0.00133129
2,-0.729147,-0.7,-0.723178,-8.77631e-05
3,-0.723178,-0.7,-0.722791,-5.58675e-06
4,-0.722791,-0.7,-0.722766,-3.54839e-07
5,-0.722766,-0.7,-0.722765,-2.25342e-08
6,-0.722765,-0.7,-0.722765,-1.43103e-09
7,-0.722765,-0.7,-0.722765,-9.08769e-11
8,-0.722765,-0.7,-0.722765,-5.77094e-12
9,-0.722765,-0.7,-0.722765,-3.66485e-13
10,-0.722765,-0.7,-0.722765,-2.34257e-14
11,-0.722765,-0.7,-0.722765,-1.33227e-15
12,-0.722765,-0.7,-0.722765,-1.11022e-16

iteracja,a,b,c,f(c)
1,0.7,0.8,0.729147,-0.00133129
2,0.7,0.729147,0.723178,-8.77631e-05
3,0.7,0.723178,0.722791,-5.58675e-06
4,0.7,0.722791,0.722766,-3.54839e-07
5,0.7,0.722766,0.722765,-2.25342e-08
6,0.7,0.722765,0.722765,-1.43103e-09
7,0.7,0.722765,0.722765,-9.08769e-11
8,0.7,0.722765,0.722765,-5.77116e-12
9,0.7,0.722765,0.722765,-3.66374e-13
10,0.7,0.722765,0.722765,-2.33147e-14
11,0.7,0.722765,0.722765,-1.44329e-15
12,0.7,0.722765,0.722765,-2.22045e-16

iteracja,a,b,c,f(c)
1,1,1.1,1.0272,-0.00157888
2,1.0272,1.1,1.03292,-0.000308497
3,1.03292,1.1,1.03402,-5.84211e-05
4,1.03402,1.1,1.03423,-1.09976e-05
5,1.03423,1.1,1.03427,-2.06796e-06
6,1.03427,1.1,1.03427,-3.88769e-07
7,1.03427,1.1,1.03427,-7.30843e-08
8,1.03427,1.1,1.03427,-1.3739e-08
9,1.03427,1.1,1.03427,-2.58275e-09
10,1.03427,1.1,1.03427,-4.85525e-10
11,1.03427,1.1,1.03427,-9.12725e-11
12,1.03427,1.1,1.03427,-1.71581e-11
13,1.03427,1.1,1.03427,-3.22542e-12
14,1.03427,1.1,1.03427,-6.06404e-13
15,1.03427,1.1,1.03427,-1.13909e-13
16,1.03427,1.1,1.03427,-2.15383e-14
17,1.03427,1.1,1.03427,-3.9968e-15
18,1.03427,1.1,1.03427,-6.66134e-16

